"Complete baseline configuration","timedatectl set-timezone [continent]/[city]<br>hostnamectl set-hostname [FQDN]<br>dpkg-reconfigure locales<br>dpkg-reconfigure keyboard-configuration<br>dpkg-reconfigure console-setup","General"
"Create a new user","useradd [name] -m<br>passwd [name]","General"
"Give a user sudo privileges","usermod -aG sudo [name]","General"
"Configure a static IP address","#/etc/network/interfaces<br>...<br>auto [interface]<br>iface [interface] inet static<br>  address [IP]/[mask]<br>  gateway [IP]<br>  dns-domain [domain]<br>  dns-nameserver [IP]<br>...<br>#/etc/network/interfaces<br>apt install resolvconf<br>systemctl restart networking","General"
"Configure a dynamic IP address via DHCP","#/etc/network/interfaces<br>...<br>auto [interface]<br>iface [interface] inet dhcp<br>...<br>#/etc/network/interfaces<br>apt install resolvconf<br>systemctl restart networking","General"
"Configure a static IPv6 address","#/etc/network/interfaces<br>...<br>auto [interface]<br>iface [interface] inet6 static<br>  address [IPv6]/[prefix]<br>  gateway [IPv6]<br>  dns-domain [domain]<br>  dns-nameserver [IPv6]<br>...<br>#/etc/network/interfaces<br>apt install resolvconf<br>systemctl restart networking","General"
"Configure a dynamic IPv6 address via DHCP","#/etc/network/interfaces<br>...<br>auto [interface]<br>iface [interface] inetv6 dhcp<br>...<br>#/etc/network/interfaces<br>apt install resolvconf<br>systemctl restart networking","General"
"Enable IPv4 traffic forwarding","#/etc/sysctl.conf<br>...<br>net.ipv4.ip_forwarding=1<br>...<br>#/etc/sysctl.conf<br>sysctl -p","General"
"Establish a basic BGP peering with FRR","apt install frr frr-doc<br>#/etc/frr/daemons<br>...<br>bgpd=yes<br>...<br>frr_profile='datacenter'<br>...<br>#/etc/frr/daemons<br>systemctl restart frr<br>systemctl enable --now frr<br>vtysh<br>configure terminal<br>router bgp [AS]<br>network [IP]/[mask]<br>neighbor [IP] remote-as [AS]<br>do write","FRR BGP"
"Establish a Strongswan IKEv2 S2S VPN with PSK to Windows Server with default policies","apt install strongswan<br>#/etc/ipsec.conf<br>conn [name]<br>  auto=start<br>  keyexchange=ikev2<br>  ike=aes256-sha256-modp1024<br>  authby=secret<br>  left=[IP]<br>  right=[IP]<br>  leftsubnet=[IP]/[mask]<br>  rightsubnet=[IP]/[mask]<br>#/etc/ipsec.secret<br>[local IP] [remote IP] : PSK '[password]'<br>systemctl restart strongswan-starter<br>systemctl enable --now strongswan-starter","IPsec VPN Strongswan"
"List all routes installed by strongswan","ip route list table 220","IPsec VPN Strongswan"
