"Start the program with which host- and domain name can be configured","sysdm.cpl","General ADDS Program-Names"
"Start the program with which network interfaces can be configured","ncpa.cpl","General ADDS Program-Names"
"Start the program user certificates can be configured","certmgr.msc","CA Program-Names"
"Start the program machine certificates can be configured","certlm.msc","CA Program-Names"
"Start the program with which services can be configured","services.msc","Program-Names General"
"Shutdown the machine","Stop-Computer","General"
"Reboot the machine","Restart-Computer","General"
"Disable IPv6 via PowerShell","Get-NetAdapterBinding | Where-Object ComponentID -EQ 'ms_tcpip6' | Disable-NetAdapterBinding","General"
"Enable/Disable firewall via PowerShell","Set-NetFirewallProfile -All -Enable {True | False}","General"
"Get additional information for a command","help [command]","General"
"Update PowerShell help information from offline path","Update-Help -SourcePath [path]","General"
"Complete the baseline configuration","sconfig","General"
"Create new forest and domain ","Install-WindowsFeature AD-Domain-Services -IncludeManagementTools<br>Install-ADDSForest -DomainName [domain] -DomainNetbiosName [netbios] -InstallDns","ADDS DNS"
"Add a Domain Controller to an existing domain","Install-WindowsFeature AD-Domain-Services -IncludeManagementTools<br>Install-ADDSDomainController -DomainName [domain] -InstallDNS -Credential (Get-Credentials ,[netbios]\[user],) -SiteName [site]","ADDS DNS"
"Add a child domain to an existing forest","Install-WindowsFeature AD-Domain-Services -IncludeManagementTools<br>Install-ADDS-Domain -ParentDomainName [domain] -NewDomainName [prefix] -NewNetbiosName [netbios] -InstallDNS -SiteName [site] -Credential (Get-Credentials ,[netbios]\[user],)","ADDS DNS"
